xmag ymag zmag xacc yacc zacc
-2993 -427 -5043 4373 -173 -335
-2993 -427 -5043 4785 -243 -412
-2993 -427 -5043 5387 -407 -407
-2993 -427 -5043 5325 -527 -540
-2993 -427 -5043 5988 -796 -1381
-2993 -427 -5043 4616 766 -2021
-3400 -288 -4575 3318 -1942 877
-3400 -288 -4575 7329 -2306 1174
-3400 -288 -4575 2320 3682 4308
-3400 -288 -4575 3364 -510 1646
-3400 -288 -4575 1850 1606 -3424
-3400 -288 -4575 6192 -1074 1632
-3400 -288 -4575 5516 1724 -4058
-3774 -91 -3917 5773 -639 -195
-3774 -91 -3917 5881 366 -1415
-3774 -91 -3917 7251 2101 -2562
-3774 -91 -3917 8597 -1105 4669
-3774 -91 -3917 8333 -927 2671
-3774 -91 -3917 7834 1268 1011
-3774 -91 -3917 5819 545 -639
-3955 31 -3336 6956 406 201
-3955 31 -3336 6441 702 -153
-3955 31 -3336 6731 597 424
-3955 31 -3336 6507 612 509
-3955 31 -3336 6153 607 499
-3955 31 -3336 6273 401 237
-3932 77 -2977 6358 102 222
-3932 77 -2977 6374 73 706
-3932 77 -2977 6443 55 626
-3932 77 -2977 6159 103 371
-3932 77 -2977 6174 -104 533
-3932 77 -2977 5938 -114 326
-3932 77 -2977 6113 -279 378
-3882 36 -2843 6101 -359 485
-3882 36 -2843 5954 -344 266
-3882 36 -2843 5863 -435 260
-3882 36 -2843 5553 -469 125
-3882 36 -2843 5381 -553 94
-3882 36 -2843 5153 -507 -140
-3882 36 -2843 5038 -656 -133
-3872 -17 -3020 4962 -554 -130
-3872 -17 -3020 4692 -591 -259
-3872 -17 -3020 4558 -614 -137
-3872 -17 -3020 4425 -464 -229
-3872 -17 -3020 4235 -223 -92
-3872 -17 -3020 4224 63 -60
-3872 -17 -3020 4241 -45 48
-3881 -31 -3195 4038 -18 -391
-3881 -31 -3195 4129 7 -256
-3881 -31 -3195 4110 -4 -388
-3881 -31 -3195 4090 266 -330
-3881 -31 -3195 4086 454 -90
-3881 -31 -3195 4008 440 -317
-3881 -31 -3195 4064 398 -402
-3868 0 -3406 3895 459 -313
-3868 0 -3406 4184 678 -397
-3868 0 -3406 3983 1155 -88
-3868 0 -3406 3700 758 125
-3868 0 -3406 3610 1464 164
-3868 0 -3406 3824 667 -184
-3868 0 -3406 3854 1038 -429
-3891 52 -3669 4066 915 -85
-3891 52 -3669 4144 1132 195
-3891 52 -3669 4127 1246 269
-3891 52 -3669 4250 1218 104
-3891 52 -3669 4348 1068 256
-3891 52 -3669 4406 870 82
-3832 49 -3938 4400 680 35
-3832 49 -3938 4142 758 29
-3832 49 -3938 4274 136 567
-3832 49 -3938 4082 456 -14
-3832 49 -3938 4170 82 259
-3832 49 -3938 4323 -410 277
-3832 49 -3938 3817 35 36
-3793 142 -4170 4083 -23 333
-3793 142 -4170 4155 475 295
-3793 142 -4170 4271 803 306
-3793 142 -4170 4110 1064 235
-3793 142 -4170 4053 1107 462
-3793 142 -4170 4061 1158 373
-3793 142 -4170 3893 945 326
-3718 118 -4475 3938 658 200
-3718 118 -4475 3759 333 59
-3718 118 -4475 3830 24 3
-3718 118 -4475 3947 -355 101
-3718 118 -4475 3765 -171 -83
-3718 118 -4475 3780 -20 86
-3718 118 -4475 3915 19 243
-3398 -229 -4705 4094 68 -93
-3398 -229 -4705 4330 14 -6
-3398 -229 -4705 4408 40 487
-3398 -229 -4705 4123 224 432
-3398 -229 -4705 4293 383 418
-3398 -229 -4705 4457 384 860
-3398 -229 -4705 4239 501 673
-2885 -796 -4879 4779 901 389
-2885 -796 -4879 4147 646 1187
-2885 -796 -4879 4421 955 1519
-2885 -796 -4879 4394 1403 810
-2885 -796 -4879 4565 1279 929
-2885 -796 -4879 4471 1333 1246
-2377 -1190 -4938 4392 1386 1263
-2377 -1190 -4938 4391 1373 1435
-2377 -1190 -4938 4517 1507 1395
-2377 -1190 -4938 4164 1456 1366
-2377 -1190 -4938 4066 1384 1384
-2377 -1190 -4938 3928 1348 1304
-2377 -1190 -4938 3885 1379 1378
-2058 -1332 -4990 3761 1009 1362
-2058 -1332 -4990 3537 1437 1121
-2058 -1332 -4990 3497 1627 1689
-2058 -1332 -4990 2394 1348 396
-2058 -1332 -4990 3018 1161 967
-2058 -1332 -4990 6895 -521 3257
-2058 -1332 -4990 4616 -18 119
-1768 -1440 -5093 2063 996 1857
-1768 -1440 -5093 2169 49 32
-1768 -1440 -5093 4523 441 1308
-1768 -1440 -5093 6516 1280 2012
-1768 -1440 -5093 3656 1916 1224
